"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2025,0.0281770406449609
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2030,0.0110418645984039
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2035,0.0103954932339328
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2040,0.00815397292984041
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2045,0.00749089499987232
2025,"Particulate Matter","Black Carbon","1A1a","kilotonne",2050,0.00771450310213698
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2025,0.00778129826758067
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2030,0.00690657321012701
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2035,0.00596611534761498
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2040,0.00543037784415929
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2045,0.00510681007369545
2025,"Particulate Matter","Black Carbon","1A1b","kilotonne",2050,0.00478369588378653
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2025,0.185682676987898
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2030,0.144921071785286
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2035,0.106625183178776
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2040,0.05555890891803
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2045,0.0256318867535708
2025,"Particulate Matter","Black Carbon","1A1c","kilotonne",2050,0.0139965971091628
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2025,0.00434923032934424
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2030,0.00414919870697622
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2035,0.003598222720483
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2040,0.00282036155375861
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2045,0.00291673004492307
2025,"Particulate Matter","Black Carbon","1A2a","kilotonne",2050,0.0029982131546375
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2025,0.00180719995302414
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2030,0.00183161898197322
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2035,0.00192523568978951
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2040,0.0020996962303411
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2045,0.00232834518492959
2025,"Particulate Matter","Black Carbon","1A2b","kilotonne",2050,0.00254520147214
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2025,0.0290750791557475
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2030,0.0296563350185815
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2035,0.029129274237589
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2040,0.0276098490274717
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2045,0.0289047092263979
2025,"Particulate Matter","Black Carbon","1A2c","kilotonne",2050,0.0306758173700207
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2025,0.0891486771388426
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2030,0.0922167456439577
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2035,0.0827965217286282
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2040,0.062002859816226
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2045,0.0605836834103456
2025,"Particulate Matter","Black Carbon","1A2d","kilotonne",2050,0.0634437235532502
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2025,0.0285595745004532
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2030,0.0292264333401978
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2035,0.0274306060199131
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2040,0.0234915505604704
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2045,0.0242267731859004
2025,"Particulate Matter","Black Carbon","1A2e","kilotonne",2050,0.0258615712166422
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2025,0.0164608638885527
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2030,0.0170482436049863
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2035,0.0153056504924421
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2040,0.0114389705888693
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2045,0.0140599566547575
2025,"Particulate Matter","Black Carbon","1A2f","kilotonne",2050,0.0148551989412118
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2025,0.0965329882840175
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2030,0.082466499043314
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2035,0.0889868225839283
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2040,0.0951355394300489
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2045,0.108516706451141
2025,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2050,0.124221444499564
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2025,0.602208438050256
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2030,0.608387656900478
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2035,0.591567414956058
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2040,0.551695125598735
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2045,0.564387851020199
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2050,0.586118225011935
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2025,0.0281738933220698
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2030,0.0323248361265885
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2035,0.032901079679052
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2040,0.0327950019213538
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2045,0.0321612227262352
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2050,0.0323174570522227
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2025,0.00368436105596117
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2030,0.00416060582288489
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2035,0.00411135480986943
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2040,0.00396336286350966
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2045,0.00372731199190308
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2050,0.0036111446172682
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2025,0.455217818879608
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2030,0.129729230450885
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2035,0.0597266982341172
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2040,0.0409562198888283
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2045,0.0309079750021373
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2050,0.0281801682300397
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2025,0.167395349816967
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2030,0.0342622189898063
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2035,0.00963890737920563
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2040,0.00709143210975083
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2045,0.00640115263503669
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2050,0.00623355125796613
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2025,0.0989516125473212
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2030,0.0306563581624136
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2035,0.0192435127396931
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2040,0.0175123452191029
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2045,0.0178516053148645
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2050,0.0182261453992882
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2025,0.00259840594936765
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2030,0.00142670696783544
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2035,0.0011384262674943
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2040,0.000983769181286972
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2045,0.000968638535891385
