"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2019,"Air Pollutants","Ammonia","1A1a","kilotonne",2020,0.158913754719588
2019,"Air Pollutants","Ammonia","1A1a","kilotonne",2025,0.164264298076611
2019,"Air Pollutants","Ammonia","1A1a","kilotonne",2030,0.160687810276375
2019,"Air Pollutants","Ammonia","1A2f","kilotonne",2020,0.389067103333474
2019,"Air Pollutants","Ammonia","1A2f","kilotonne",2025,0.389067103333474
2019,"Air Pollutants","Ammonia","1A2f","kilotonne",2030,0.389067103333474
2019,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2020,0.0141191711050467
2019,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2025,0.0133192041839048
2019,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2030,0.0133235137554891
2019,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2020,2.6881105738114
2019,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2025,2.74407390218803
2019,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2030,2.73596821893336
2019,"Air Pollutants","Ammonia","1A3bi","kilotonne",2020,3.66714614659834
2019,"Air Pollutants","Ammonia","1A3bi","kilotonne",2025,3.70672657205958
2019,"Air Pollutants","Ammonia","1A3bi","kilotonne",2030,3.8141675967793
2019,"Air Pollutants","Ammonia","1A3bii","kilotonne",2020,0.444181956567071
2019,"Air Pollutants","Ammonia","1A3bii","kilotonne",2025,0.578442301230127
2019,"Air Pollutants","Ammonia","1A3bii","kilotonne",2030,0.63187516807119
2019,"Air Pollutants","Ammonia","1A3biii","kilotonne",2020,0.287734637781987
2019,"Air Pollutants","Ammonia","1A3biii","kilotonne",2025,0.288793619744626
2019,"Air Pollutants","Ammonia","1A3biii","kilotonne",2030,0.290780009638303
2019,"Air Pollutants","Ammonia","1A3biv","kilotonne",2020,0.00902710115993355
2019,"Air Pollutants","Ammonia","1A3biv","kilotonne",2025,0.00895425990213821
2019,"Air Pollutants","Ammonia","1A3biv","kilotonne",2030,0.00906699913662266
2019,"Air Pollutants","Ammonia","1A3c","kilotonne",2020,0.00813232410540749
2019,"Air Pollutants","Ammonia","1A3c","kilotonne",2025,0.00787771795956249
2019,"Air Pollutants","Ammonia","1A3c","kilotonne",2030,0.00779159414595938
2019,"Air Pollutants","Ammonia","1A3dii","kilotonne",2020,0.0151764735079859
2019,"Air Pollutants","Ammonia","1A3dii","kilotonne",2025,0.0149200047276889
2019,"Air Pollutants","Ammonia","1A3dii","kilotonne",2030,0.0148044005671619
2019,"Air Pollutants","Ammonia","1A3eii","kilotonne",2020,0.0014968783840018
2019,"Air Pollutants","Ammonia","1A3eii","kilotonne",2025,0.00166510610775333
2019,"Air Pollutants","Ammonia","1A3eii","kilotonne",2030,0.00183333383150486
2019,"Air Pollutants","Ammonia","1A4bi","kilotonne",2020,2.76674934703486
2019,"Air Pollutants","Ammonia","1A4bi","kilotonne",2025,2.904099670295
2019,"Air Pollutants","Ammonia","1A4bi","kilotonne",2030,2.93726083321927
2019,"Air Pollutants","Ammonia","1A4bii","kilotonne",2020,0.000541562197006606
2019,"Air Pollutants","Ammonia","1A4bii","kilotonne",2025,0.00056464386429888
2019,"Air Pollutants","Ammonia","1A4bii","kilotonne",2030,0.000587066253565797
